TARGETID,GENENAME,,,Disease Entry, [ICD-11]
T00902,NTF4,INDICATI,Terminated,Central nervous system disease,[ICD-11: 8A04-8D87]
,#N/A,,,,
T00938,TYRP1,TARGETID,T00938,,
T00938,TYRP1,TARGNAME,Melanoma antigen gp75 (TYRP1),,
T00938,TYRP1,INDICATI,Phase 1,Melanoma,[ICD-11: 2C30]
T00938,TYRP1,INDICATI,Phase 2,Motor neuron disease,[ICD-11: 8B60]
T00938,TYRP1,INDICATI,Phase 2,Multiple sclerosis,[ICD-11: 8A40]
T00938,TYRP1,INDICATI,Phase 2,Tonus and reflex abnormality,[ICD-11: MB47]
,#N/A,,,,
T00972,HIV gp120,TARGETID,T00972,,
T00972,HIV gp120,TARGNAME,Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120),,
T00972,HIV gp120,INDICATI,Approved,Human immunodeficiency virus disease,[ICD-11: 1C60-1C62]
,#N/A,,,,
T01003,ERN1,TARGETID,T01003,,
T01003,ERN1,TARGNAME,Endoplasmic reticulum to nucleus signaling 1 (ERN1),,
T01003,ERN1,INDICATI,Phase 1/2,Breast cancer,[ICD-11: 2C60-2C6Y]
T01003,ERN1,INDICATI,Investigative,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T01011,#N/A,TARGETID,T01011,,
T01011,#N/A,TARGNAME,Aurora kinase (AURK),,
T01011,#N/A,INDICATI,Phase 2,Lung cancer,[ICD-11: 2C25]
,#N/A,,,,
T01110,CSF1R,TARGETID,T01110,,
T01110,CSF1R,TARGNAME,Colony stimulating factor-1 receptor (CSF-1R),,
T01110,CSF1R,INDICATI,Phase 2,Bone/articular cartilage neoplasm,[ICD-11: 2F7B]
T01110,CSF1R,INDICATI,Phase 2,Breast cancer,[ICD-11: 2C60-2C6Y]
T01110,CSF1R,INDICATI,Phase 1/2,Diabetes mellitus,[ICD-11: 5A10]
T01110,CSF1R,INDICATI,Phase 2,Hodgkin lymphoma,[ICD-11: 2B30]
T01110,CSF1R,INDICATI,Phase 1,Inflammatory arthropathy,[ICD-11: FA2Z]
T01110,CSF1R,INDICATI,Phase 2,Metastatic tumour,[ICD-11: 2D50-2E2Z]
T01110,CSF1R,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
T01110,CSF1R,INDICATI,Phase 2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T01141,#N/A,TARGETID,T01141,,
T01141,#N/A,TARGNAME,microRNA hsa-miR-191 (MIR191),,
T01141,#N/A,INDICATI,Investigative,Liver cancer,[ICD-11: 2C12]
,#N/A,,,,
T01232,#N/A,TARGETID,T01232,,
T01232,#N/A,TARGNAME,T-cells (T-cells),,
T01232,#N/A,INDICATI,Phase 1/2,Acute myeloid leukaemia,[ICD-11: 2A60]
T01232,#N/A,INDICATI,Phase 2,Diabetes mellitus,[ICD-11: 5A10]
T01232,#N/A,INDICATI,Phase 2,Diffuse large B-cell lymphoma,[ICD-11: 2A81]
T01232,#N/A,INDICATI,Phase 2,Heart failure,[ICD-11: BD10-BD1Z]
T01232,#N/A,INDICATI,Phase 2,Hodgkin lymphoma,[ICD-11: 2B30]
T01232,#N/A,INDICATI,Phase 1/2,Immunodeficiency,[ICD-11: 4A00-4A85]
T01232,#N/A,INDICATI,Phase 2,Immunoproliferative disorder,[ICD-11: 2B32]
T01232,#N/A,INDICATI,Phase 1/2,Low bone mass disorder,[ICD-11: FB83]
T01232,#N/A,INDICATI,Phase 2,Lymphoma,[ICD-11: 2A80-2A86]
T01232,#N/A,INDICATI,Phase 1/2,Mature B-cell lymphoma,[ICD-11: 2A85]
T01232,#N/A,INDICATI,Phase 1,Multiple sclerosis,[ICD-11: 8A40]
T01232,#N/A,INDICATI,Phase 2,Renal cell carcinoma,[ICD-11: 2C90]
T01232,#N/A,INDICATI,Phase 1/2,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
T01232,#N/A,INDICATI,Phase 3,Transplant rejection,[ICD-11: NE84]
T01232,#N/A,INDICATI,Phase 1/2,Transplanted organ/tissue,[ICD-11: QB63]
,#N/A,,,,
T01271,BCR-ABL1,TARGETID,T01271,,
T01271,BCR-ABL1,TARGNAME,Fusion protein Bcr-Abl T315I mutant (Bcr-Abl T315I),,
T01271,BCR-ABL1,INDICATI,Investigative,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T01280,BACE2,TARGETID,T01280,,
T01280,BACE2,TARGNAME,Beta-site APP-cleaving enzyme 2 (BACE2),,
T01280,BACE2,INDICATI,Clinical trial,Urinary system clinical sympton,[ICD-11: MF8Y]
,#N/A,,,,
T01283,TSG101,TARGETID,T01283,,
T01283,TSG101,TARGNAME,Tumor susceptibility gene protein 101 (TSG101),,
T01283,TSG101,INDICATI,Phase 1,Influenza,[ICD-11: 1E30-1E32]
,#N/A,,,,
T01318,Malaria DHOdehase,TARGETID,T01318,,
T01318,Malaria DHOdehase,TARGNAME,Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase),,
T01318,Malaria DHOdehase,INDICATI,Approved,Fungal infection,[ICD-11: 1F29-1F2F]
T01318,Malaria DHOdehase,INDICATI,Phase 1,Hepatitis virus infection,[ICD-11: 1E50-1E51]
T01318,Malaria DHOdehase,INDICATI,Approved,Hyper-lipoproteinaemia,[ICD-11: 5C80]
T01318,Malaria DHOdehase,INDICATI,Phase 3,Lung cancer,[ICD-11: 2C25]
T01318,Malaria DHOdehase,INDICATI,Approved,Malaria,[ICD-11: 1F40-1F45]
T01318,Malaria DHOdehase,INDICATI,Approved,Multiple sclerosis,[ICD-11: 8A40]
T01318,Malaria DHOdehase,INDICATI,Investigative,Nasopharyngeal cancer,[ICD-11: 2B6B]
T01318,Malaria DHOdehase,INDICATI,Approved,Rheumatoid arthritis,[ICD-11: FA20]
,#N/A,,,,
T01358,#N/A,TARGETID,T01358,,
T01358,#N/A,TARGNAME,Cell cycle (CC),,
T01358,#N/A,INDICATI,Phase 2,Breast cancer,[ICD-11: 2C60-2C6Y]
,#N/A,,,,
T01385,#N/A,TARGETID,T01385,,
T01385,#N/A,TARGNAME,HUMAN valosin-containing protein p97 (VCP),,
T01385,#N/A,INDICATI,Investigative,COVID-19,[ICD-11: 1D6Y]
,#N/A,,,,
T01447,NAE1; UBA3,TARGETID,T01447,,
T01447,NAE1; UBA3,TARGNAME,NEDD8-activating enzyme (NAE),,
T01447,NAE1; UBA3,INDICATI,Phase 2,BCR-ABL1-negative chronic myeloid leukaemia,[ICD-11: 2A41]
T01447,NAE1; UBA3,INDICATI,Phase 3,Myelodysplastic syndrome,[ICD-11: 2A37]
T01447,NAE1; UBA3,INDICATI,Investigative,Nasopharyngeal cancer,[ICD-11: 2B6B]
T01447,NAE1; UBA3,INDICATI,Phase 1,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T01521,GSTO1,TARGETID,T01521,,
T01521,GSTO1,TARGNAME,Glutathione S-transferase omega-1 (GSTO-1),,
T01521,GSTO1,INDICATI,Preclinical,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T01575,SGPL1,TARGETID,T01575,,
T01575,SGPL1,TARGNAME,Sphingosine-1-phosphate lyase 1 (SGPL1),,
T01575,SGPL1,INDICATI,Phase 2,Congenital ichthyosis,[ICD-11: EC20]
T01575,SGPL1,INDICATI,Terminated,Diabetes mellitus,[ICD-11: 5A10]
T01575,SGPL1,INDICATI,Phase 2,Rheumatoid arthritis,[ICD-11: FA20]
,#N/A,,,,
T01597,CAT,TARGETID,T01597,,
T01597,CAT,TARGNAME,Catalase (CAT),,
T01597,CAT,INDICATI,Phase 1,Skin sensation disturbance,[ICD-11: ME65]
,#N/A,,,,
T01674,CEP290,TARGETID,T01674,,
T01674,CEP290,TARGNAME,CEP290 messenger RNA (CEP290 mRNA),,
T01674,CEP290,INDICATI,Phase 2/3,Inherited retinal dystrophy,[ICD-11: 9B70]
,#N/A,,,,
T01777,ADRA2C,TARGETID,T01777,,
T01777,ADRA2C,TARGNAME,Adrenergic receptor alpha-2C (ADRA2C),,
T01777,ADRA2C,INDICATI,Discontinued in Phase 2,Acute diabete complication,[ICD-11: 5A2Y]
T01777,ADRA2C,INDICATI,Phase 2,Alzheimer disease,[ICD-11: 8A20]
T01777,ADRA2C,INDICATI,Terminated,Asthma,[ICD-11: CA23]
T01777,ADRA2C,INDICATI,Phase 2,Chronic arterial occlusive disease,[ICD-11: BD4Z]
T01777,ADRA2C,INDICATI,Phase 2,Chronic kidney disease,[ICD-11: GB61]
T01777,ADRA2C,INDICATI,Phase 3,Chronic pain,[ICD-11: MG30]
T01777,ADRA2C,INDICATI,Preclinical,Coronavirus infection,[ICD-11: 1D92]
T01777,ADRA2C,INDICATI,Investigative,Dementia,[ICD-11: 6D80-6D8Z]
T01777,ADRA2C,INDICATI,Discontinued in Phase 3,Depression,[ICD-11: 6A70-6A7Z]
T01777,ADRA2C,INDICATI,Phase 3,Dissociative neurological symptom disorder,[ICD-11: 6B60]
T01777,ADRA2C,INDICATI,Phase 2,General pain disorder,[ICD-11: 8E43]
T01777,ADRA2C,INDICATI,Terminated,Genetic cardiac arrhythmia,[ICD-11: BC65]
T01777,ADRA2C,INDICATI,Approved,Glaucoma,[ICD-11: 9C61]
T01777,ADRA2C,INDICATI,Discontinued in Phase 3,Heart failure,[ICD-11: BD10-BD1Z]
T01777,ADRA2C,INDICATI,Approved,Herpes simplex infection,[ICD-11: 1F00]
T01777,ADRA2C,INDICATI,Approved,Hypertension,[ICD-11: BA00-BA04]
T01777,ADRA2C,INDICATI,Approved,Hypotension,[ICD-11: BA20-BA21]
T01777,ADRA2C,INDICATI,Phase 2,Non-specific cutaneous vascular sympton,[ICD-11: ME64]
T01777,ADRA2C,INDICATI,Approved,Obesity,[ICD-11: 5B80-5B81]
T01777,ADRA2C,INDICATI,Discontinued in Phase 3,Orgasmic dysfunction,[ICD-11: HA02]
T01777,ADRA2C,INDICATI,Phase 2,Pain,[ICD-11: MG30-MG3Z]
T01777,ADRA2C,INDICATI,Discontinued in Preregistration,Peptic ulcer,[ICD-11: DA61]
T01777,ADRA2C,INDICATI,Phase 3,Post-traumatic stress disorder,[ICD-11: 6B40]
T01777,ADRA2C,INDICATI,Discontinued in Phase 2,Prostate disease,[ICD-11: GA91]
T01777,ADRA2C,INDICATI,Discontinued in Phase 2,Sexual dysfunction,[ICD-11: HA00-HA01]
T01777,ADRA2C,INDICATI,Approved,Substance abuse,[ICD-11: 6C40]
T01777,ADRA2C,INDICATI,Investigative,Unspecific body region injury,[ICD-11: ND56]
T01777,ADRA2C,INDICATI,Investigative,Unspecific substance harmful effect,[ICD-11: NE6Z]
T01777,ADRA2C,INDICATI,Phase 4,Vasomotor/allergic rhinitis,[ICD-11: CA08]
,#N/A,,,,
T01788,#N/A,TARGETID,T01788,,
T01788,#N/A,TARGNAME,COVID-19 non-structural protein 14 (nsp14),,
T01788,#N/A,INDICATI,Investigative,COVID-19,[ICD-11: 1D6Y]
,#N/A,,,,
T01822,#N/A,TARGETID,T01822,,
T01822,#N/A,TARGNAME,Haematin (HA),,
T01822,#N/A,INDICATI,Phase 2,Malaria,[ICD-11: 1F40-1F45]
,#N/A,,,,
T01840,#N/A,TARGETID,T01840,,
T01840,#N/A,TARGNAME,Protease unspecific (PRO),,
T01840,#N/A,INDICATI,Approved,Alpha-1-antitrypsin deficiency,[ICD-11: 5C5A]
T01840,#N/A,INDICATI,Terminated,Alzheimer disease,[ICD-11: 8A20]
T01840,#N/A,INDICATI,Phase 2,Atopic eczema,[ICD-11: EA80]
T01840,#N/A,INDICATI,Phase 1,Chronic obstructive pulmonary disease,[ICD-11: CA22]
T01840,#N/A,INDICATI,Phase 2,Coagulation defect,[ICD-11: 3B10]
T01840,#N/A,INDICATI,Terminated,Cystic fibrosis,[ICD-11: CA25]
T01840,#N/A,INDICATI,Terminated,Rheumatoid arthritis,[ICD-11: FA20]
T01840,#N/A,INDICATI,Terminated,Solid tumour/cancer,[ICD-11: 2A00-2F9Z]
,#N/A,,,,
T01851,ITGB1,TARGETID,T01851,,
T01851,ITGB1,TARGNAME,Integrin beta-1 (ITGB1),,
T01851,ITGB1,INDICATI,Phase 1,Brain cancer,[ICD-11: 2A00]
T01851,ITGB1,INDICATI,Phase 1/2,Lung cancer,[ICD-11: 2C25]
T01851,ITGB1,INDICATI,Phase 1,Retinopathy,[ICD-11: 9B71]
,#N/A,,,,
T01865,Malaria ht1,TARGETID,T01865,,
T01865,Malaria ht1,TARGNAME,Plasmodium Hexose transporter 1 (Malaria ht1),,
T01865,Malaria ht1,INDICATI,Investigative,Malaria,[ICD-11: 1F40-1F45]
,#N/A,,,,
T01908,KLK2,TARGETID,T01908,,
T01908,KLK2,TARGNAME,Tissue kallikrein (KLK2),,
T01908,KLK2,INDICATI,Discontinued in Phase 2,Atopic eczema,[ICD-11: EA80]
T01908,KLK2,INDICATI,Phase 2,Epidermal dysplasias,[ICD-11: EK90]
T01908,KLK2,INDICATI,Phase 2/3,Innate/adaptive immunodeficiency,[ICD-11: 4A00]
T01908,KLK2,INDICATI,Phase 1,Prostate cancer,[ICD-11: 2C82]
,#N/A,,,,
T01943,Malaria FabZ,TARGETID,T01943,,
T01943,Malaria FabZ,TARGNAME,Plasmodium Beta-hydroxyacyl-ACP dehydratase (Malaria FabZ),,
T01943,Malaria FabZ,INDICATI,Phase 3,Hepatic fibrosis/cirrhosis,[ICD-11: DB93]
,#N/A,,,,
T01973,MST1R,TARGETID,T01973,,
T01973,MST1R,TARGNAME,Macrophage-stimulating protein receptor (RON),,
