molecule_ID,target_ID,target_name,drugbank_ID,SVM_score,RF_score,Gene Names
42,1992,Dihydroxyacetone kinase,2397,0.94933,0.746,
42,2020,Haloalkane dehalogenase,2281,0.92712,0.724,
42,2223,2-isopropylmalate synthase,3179,0.97944,0.718,
42,2230,"2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase",4674,0.94989,0.76,
42,2235,1-aminocyclopropane-1-carboxylate deaminase,2518,0.95686,0.746,
42,2262,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2264,0.82336,0.76,
42,2290,Growth-inhibiting protein 18,3877,0.86594,0.714,
42,2479,Methylmalonyl-CoA carboxyltransferase 5S subunit,2983,0.96292,0.706,
42,2873,Coagulation factor XIII A chain,6,0.90685,0.714,F13A1
42,2874,"Aspartate aminotransferase, mitochondrial",426,0.83637,0.722,GOT2
42,2986,Pyruvate kinase isozymes M1/M2,98,0.85878,0.738,
42,3031,Serine--pyruvate aminotransferase,349,0.94333,0.756,
42,3145,Alanine aminotransferase 1,735,0.9205,0.758,GPT
42,3190,Cystathionine gamma-lyase,868,0.86318,0.754,CTH
42,3427,"Alanine--glyoxylate aminotransferase 2, mitochondrial",114,0.92184,0.778,
42,3528,NADP-dependent malic enzyme,666,0.96332,0.72,ME1
42,3543,"Alanyl-tRNA synthetase, cytoplasmic",323,0.91278,0.746,
42,3553,"Glycine amidinotransferase, mitochondrial",383,0.95737,0.776,GATM
42,3635,"Cysteine desulfurase, mitochondrial",169,0.93802,0.748,
42,3647,Alanine--glyoxylate aminotransferase 2-like 2,3899,0.91723,0.718,
42,3660,Proton-coupled amino acid transporter 1,593,0.92645,0.738,SLC36A1
42,3696,L-lactate dehydrogenase A chain,473,0.92822,0.702,LDHA
42,3797,Triosephosphate isomerase,6346,0.90047,0.71,TPI1
42,3824,Glucose-6-phosphate isomerase,2206,0.8113,0.7,GPI
42,3826,"NAD-dependent malic enzyme, mitochondrial",166,0.93189,0.766,ME2
42,3840,SHMT2 protein,3884,0.87919,0.712,
42,3853,"NADP-dependent malic enzyme, mitochondrial",363,0.9652,0.74,ME3
42,3913,L-lactate dehydrogenase B chain,77,0.89299,0.702,LDHB
42,3952,Trypsin-3,2886,0.94957,0.724,PRSS3
42,164,"Ornithine aminotransferase, mitochondrial",472,0.923673,0.708,
42,511,UDP-glucose 4-epimerase,2762,0.921171,0.7,GALE
42,525,M-phase inducer phosphatase 2,3105,0.801246,0.734,CDC25B
42,698,Elastase 1,6260,0.93915,0.706,
42,1060,Phosphonoacetaldehyde hydrolase,5363,0.937982,0.71,
42,1269,Fumarate hydratase class II,3486,0.88319,0.7,
42,2652,Phosphotriesterase,5742,0.941863,0.706,
42,3755,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",575,0.908072,0.7,GCAT
58,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.87406,0.728,
58,181,Gamma-aminobutyric-acid receptor alpha-5 subunit,523,0.84214,0.7,
58,200,Gamma-aminobutyric-acid receptor alpha-3 subunit,580,0.86667,0.704,
58,210,Muscarinic acetylcholine receptor M2,617,0.82257,0.704,CHRM2
58,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.90651,0.748,
58,581,"Neuronal acetylcholine receptor protein, alpha-7 chain",4095,0.87366,0.7,
58,3216,Glutamate receptor 2,921,0.81819,0.706,GRIA2
58,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.82101,0.74,
44,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.83281,0.722,
44,200,Gamma-aminobutyric-acid receptor alpha-3 subunit,580,0.81818,0.704,
44,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.90909,0.756,
44,581,"Neuronal acetylcholine receptor protein, alpha-7 chain",4095,0.85243,0.726,
44,3216,Glutamate receptor 2,921,0.83029,0.71,GRIA2
26,209,Progesterone receptor,614,0.92073,0.742,PGR
26,3276,Nuclear receptor coactivator 2,6241,0.80274,0.708,NCOA2
36,6,Prostaglandin G/H synthase 1,20,0.94544,0.706,PTGS1
36,16,Muscarinic acetylcholine receptor M3,51,0.97323,0.716,CHRM3
36,38,Muscarinic acetylcholine receptor M1,103,0.96669,0.71,CHRM1
36,94,Prostaglandin G/H synthase 2,290,0.96278,0.736,PTGS2
36,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.97982,0.726,
36,158,Retinoic acid receptor RXR-alpha,459,0.93105,0.702,RXRA
36,210,Muscarinic acetylcholine receptor M2,617,0.96067,0.724,CHRM2
36,216,Alpha-1B adrenergic receptor,632,0.93468,0.716,ADRA1B
36,284,Neuronal acetylcholine receptor subunit alpha-2,813,0.93684,0.702,CHRNA2
36,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.98475,0.728,
36,3276,Nuclear receptor coactivator 2,6241,0.88866,0.726,NCOA2
36,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.96845,0.726,
36,186,Sodium-dependent noradrenaline transporter,540,0.95308,0.702,SLC6A2
36,191,Alpha-1A adrenergic receptor,556,0.86538,0.708,ADRA1A
36,239,Sodium-dependent dopamine transporter,713,0.92417,0.7,SLC6A3
36,351,Interleukin-6,1159,,,IL6
57,16,Muscarinic acetylcholine receptor M3,51,0.81001,0.724,CHRM3
57,38,Muscarinic acetylcholine receptor M1,103,0.83242,0.732,CHRM1
57,186,Sodium-dependent noradrenaline transporter,540,0.82573,0.726,SLC6A2
57,239,Sodium-dependent dopamine transporter,713,0.8184,0.728,SLC6A3
57,261,Beta-2 adrenergic receptor,766,0.83186,0.722,ADRB2
57,290,Sodium-dependent serotonin transporter,824,0.83615,0.716,SLC6A4
57,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.80016,0.708,
57,210,Muscarinic acetylcholine receptor M2,617,0.85528,0.708,CHRM2
57,175,5-hydroxytryptamine 2A receptor,502,0.80221,0.702,
57,209,Progesterone receptor,614,0.911793,0.728,PGR
57,252,Mineralocorticoid receptor,737,0.939881,0.702,NR3C2
57,308,Glucocorticoid receptor,871,0.921913,0.706,NR3C1
57,3276,Nuclear receptor coactivator 2,6241,0.811622,0.71,NCOA2
57,158,Retinoic acid receptor RXR-alpha,459,0.835641,0.702,RXRA
25,16,Muscarinic acetylcholine receptor M3,51,0.93543,0.7,CHRM3
25,94,Prostaglandin G/H synthase 2,290,0.84647,0.702,PTGS2
25,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.93846,0.702,
6,6,Prostaglandin G/H synthase 1,20,0.837102,0.712,PTGS1
6,48,Androgen receptor,146,0.855963,0.752,AR
6,94,Prostaglandin G/H synthase 2,290,0.922133,0.8,PTGS2
6,444,Heat shock protein HSP 90,1939,0.969594,0.724,
6,2928,Trypsin-1,3176,0.885381,0.774,
6,3276,Nuclear receptor coactivator 2,6241,0.839869,0.816,NCOA2
6,699,mRNA of PKA Catalytic Subunit C-alpha,6263,0.92432,0.71,
6,332,Dipeptidyl peptidase IV,952,0.83499,0.708,
6,491,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",2404,0.926285,0.7,
6,4565,Transcription factor p65,h001,,,RELA
6,298,Epidermal growth factor receptor,844,,,EGFR
6,4490,RAC-alpha serine/threonine-protein kinase,h001,,,AKT1
6,740,Vascular endothelial growth factor A,183,,,
6,4214,G1/S-specific cyclin-D1,h001,,,CCND1
6,4054,Bcl-2-like protein 1,h001,,,BCL2L1
6,4141,Cyclin-dependent kinase inhibitor 1,h001,,,CDKN1A
6,4090,Caspase-9,h001,,,
6,238,72 kDa type IV collagenase,707,,,
6,4334,Matrix metalloproteinase-9,h001,,,
6,354,Mitogen-activated protein kinase 1,1176,,,MAPK1
6,4292,Interleukin-10,h001,,,IL10
6,2915,Retinoblastoma-associated protein,3846,,,RB1
6,573,Cell division protein kinase 4,3959,,,
6,265,Tumor necrosis factor,777,,,
6,414,Transcription factor AP-1,1629,,,
6,351,Interleukin-6,1159,,,IL6
6,4087,Caspase-3,h001,,,
6,646,Cellular tumor antigen p53,5788,,,TP53
6,4394,NF-kappa-B inhibitor alpha,h001,,,NFKBIA
6,568,Xanthine dehydrogenase/oxidase,3947,,,
6,1293,DNA topoisomerase 1,3552,,,TOP1
6,4179,E3 ubiquitin-protein ligase Mdm2,h001,,,MDM2
6,648,Amyloid beta A4 protein,5800,,,
6,353,Interstitial collagenase,1167,,,
6,4450,Proliferating cell nuclear antigen,h001,,,PCNA
6,4496,Receptor tyrosine-protein kinase erbB-2,h001,,,ERBB2
6,4422,Peroxisome proliferator-activated receptor gamma,h001,,,PPARG
6,2132,Heme oxygenase 1,3391,,,
6,3575,Caspase-7,3320,,,
6,4287,Intercellular adhesion molecule 1,h001,,,ICAM1
6,4269,Induced myeloid leukemia cell differentiation protein Mcl-1,h001,,,MCL1
6,4044,Baculoviral IAP repeat-containing protein 5,h001,,,BIRC5
6,3978,Interleukin-2,1575,,,IL2
6,4219,G2/mitotic-specific cyclin-B1,h001,,,CCNB1
6,4590,Tyrosinase,h001,,,TYR
6,365,Interferon gamma,1253,,,IFNG
6,4301,Interleukin-4,h001,,,IL4
6,4172,DNA topoisomerase 2-alpha,h001,,,TOP2A
6,733,Glutathione S-transferase P,904,,,GSTP1
6,4043,Baculoviral IAP repeat-containing protein 4,h001,,,
6,4535,"Solute carrier family 2, facilitated glucose transporter member 4",h001,,,SLC2A4
6,11,Insulin receptor,36,,,
6,4107,CD40 ligand,h001,,,
6,4456,Prostaglandin E synthase,h001,,,PTGES
6,4311,Kinetochore protein Nuf2,h001,,,NUF2
6,4015,Adenylate cyclase type 2,h001,,,ADCY2
6,349,Hepatocyte growth factor receptor,1144,,,MET
59,4289,Interferon alpha/beta receptor 2,h001,,,IFNAR2
59,516,"Phospholipase A2, membrane associated",2981,,,PLA2G2A
45,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.92225,0.742,
45,581,"Neuronal acetylcholine receptor protein, alpha-7 chain",4095,0.84633,0.7,
45,3216,Glutamate receptor 2,921,0.84848,0.72,GRIA2
45,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.82413,0.712,
45,265,Tumor necrosis factor,777,,,
47,16,Muscarinic acetylcholine receptor M3,51,0.85899,0.744,CHRM3
47,38,Muscarinic acetylcholine receptor M1,103,0.8776,0.746,CHRM1
47,94,Prostaglandin G/H synthase 2,290,0.82507,0.746,PTGS2
47,141,Gamma-aminobutyric-acid receptor alpha-2 subunit,423,0.92666,0.706,
47,158,Retinoic acid receptor RXR-alpha,459,0.80019,0.702,RXRA
47,200,Gamma-aminobutyric-acid receptor alpha-3 subunit,580,0.91859,0.7,
47,210,Muscarinic acetylcholine receptor M2,617,0.90518,0.73,CHRM2
47,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.93932,0.742,
47,3284,Gamma-aminobutyric-acid receptor subunit alpha-6,841,0.89903,0.732,
11,3,"Nitric oxide synthase, inducible",7,0.95775,0.742,NOS2
11,17,Thrombin,54,0.92177,0.746,
11,37,Potassium voltage-gated channel subfamily H member 2,101,0.94539,0.738,KCNH2
11,46,Estrogen receptor,136,0.9746,0.762,ESR1
11,48,Androgen receptor,146,0.94423,0.748,AR
11,70,Sodium channel protein type 5 subunit alpha,220,0.95967,0.702,SCN5A
11,79,Coagulation factor Xa,239,0.89289,0.748,
11,94,Prostaglandin G/H synthase 2,290,0.94449,0.77,PTGS2
11,95,"Nitric-oxide synthase, endothelial",291,0.85117,0.706,
11,123,Coagulation factor VII,369,0.92323,0.724,
11,139,Vascular endothelial growth factor receptor 2,407,0.95116,0.714,KDR
11,287,DNA topoisomerase II,817,0.9011,0.724,
11,332,Dipeptidyl peptidase IV,952,0.943,0.728,
11,444,Heat shock protein HSP 90,1939,0.9747,0.718,
11,2928,Trypsin-1,3176,0.91286,0.722,
11,3279,Nuclear receptor coactivator 1,6228,0.90624,0.71,NCOA1
11,3727,Calcium-activated potassium channel subunit alpha 1,610,0.92178,0.724,
11,3907,Calmodulin,465,0.83189,0.784,
22,94,Prostaglandin G/H synthase 2,290,0.92173,0.752,PTGS2
8,6,Prostaglandin G/H synthase 1,20,0.819347,0.744,PTGS1
8,48,Androgen receptor,146,0.845959,0.746,AR
8,94,Prostaglandin G/H synthase 2,290,0.907704,0.808,PTGS2
8,444,Heat shock protein HSP 90,1939,0.945411,0.718,
8,2928,Trypsin-1,3176,0.863924,0.778,
8,3276,Nuclear receptor coactivator 2,6241,0.826032,0.836,NCOA2
8,491,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",2404,0.89559,0.702,
8,699,mRNA of PKA Catalytic Subunit C-alpha,6263,0.89158,0.714,
8,70,Sodium channel protein type 5 subunit alpha,220,0.87423,0.722,SCN5A
8,79,Coagulation factor Xa,239,0.81657,0.708,
8,123,Coagulation factor VII,369,0.86825,0.702,
8,287,DNA topoisomerase II,817,0.81352,0.706,
8,332,Dipeptidyl peptidase IV,952,0.924,0.726,
8,3907,Calmodulin,465,0.8603,0.736,
8,4565,Transcription factor p65,h001,,,RELA
8,4490,RAC-alpha serine/threonine-protein kinase,h001,,,AKT1
8,740,Vascular endothelial growth factor A,183,,,
8,4214,G1/S-specific cyclin-D1,h001,,,CCND1
8,86,Apoptosis regulator Bcl-2,273,,,BCL2
8,4054,Bcl-2-like protein 1,h001,,,BCL2L1
8,4478,Proto-oncogene c-Fos,h001,,,
8,4141,Cyclin-dependent kinase inhibitor 1,h001,,,CDKN1A
8,4197,Eukaryotic translation initiation factor 6,h001,,,
8,4033,Apoptosis regulator BAX,h001,,,BAX
8,4090,Caspase-9,h001,,,
8,346,Urokinase-type plasminogen activator,1074,,,
8,4334,Matrix metalloproteinase-9,h001,,,
8,2915,Retinoblastoma-associated protein,3846,,,RB1
8,573,Cell division protein kinase 4,3959,,,
8,265,Tumor necrosis factor,777,,,
8,414,Transcription factor AP-1,1629,,,
8,571,Cell division protein kinase 6,3955,,,
8,4144,"Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3",h001,,,
8,4195,Eukaryotic translation elongation factor 1 epsilon-1,h001,,,EEF1E1
8,4007,Activator of 90 kDa heat shock protein ATPase homolog 1,h001,,,AHSA1
8,4087,Caspase-3,h001,,,
8,646,Cellular tumor antigen p53,5788,,,TP53
8,4394,NF-kappa-B inhibitor alpha,h001,,,NFKBIA
8,153,Ornithine decarboxylase,449,,,ODC1
8,4179,E3 ubiquitin-protein ligase Mdm2,h001,,,MDM2
8,4050,Bcl2 antagonist of cell death,h001,,,
8,353,Interstitial collagenase,1167,,,
8,4263,Hypoxia-inducible factor 1-alpha,h001,,,HIF1A
8,4274,Insulin-like growth factor 1 receptor,h001,,,
8,4464,Protein CBFA2T1,h001,,,RUNX1T1
8,4441,Probable E3 ubiquitin-protein ligase HERC5,h001,,,
8,431,Cell division control protein 2 homolog,1771,,,
8,231,Acetyl-CoA carboxylase 1,690,,,ACACA
8,2132,Heme oxygenase 1,3391,,,
8,4287,Intercellular adhesion molecule 1,h001,,,ICAM1
8,4269,Induced myeloid leukemia cell differentiation protein Mcl-1,h001,,,MCL1
8,4215,G1/S-specific cyclin-D2,h001,,,CCND2
8,3978,Interleukin-2,1575,,,IL2
8,4219,G2/mitotic-specific cyclin-B1,h001,,,CCNB1
8,4429,Plasminogen activator inhibitor 1,h001,,,SERPINE1
8,365,Interferon gamma,1253,,,IFNG
8,4301,Interleukin-4,h001,,,IL4
8,4393,NF-kappa-B essential modulator,h001,,,IKBKG
8,4148,Cytochrome P450 19A1,h001,,,
8,4043,Baculoviral IAP repeat-containing protein 4,h001,,,
8,3993,26S proteasome non-ATPase regulatory subunit 3,h001,,,PSMD3
8,4535,"Solute carrier family 2, facilitated glucose transporter member 4",h001,,,SLC2A4
8,11,Insulin receptor,36,,,
8,4107,CD40 ligand,h001,,,
8,3611,Cytochrome c,1507,,,CYCS
8,4083,CASP8 and FADD-like apoptosis regulator,h001,,,
8,4023,Alpha- and gamma-adaptin-binding protein p34,h001,,,AAGAB
8,2882,Insulin,5961,,,
8,4326,Low affinity immunoglobulin epsilon Fc receptor,h001,,,
8,4293,Interleukin-13,h001,,,IL13
8,784,High affinity immunoglobulin epsilon receptor subunit beta,3862,,,MS4A2
8,4304,Intestinal-type alkaline phosphatase,h001,,,ALPI
8,4460,Proteasome activator complex subunit 3,h001,,,PSME3
8,4229,Glucose-6-phosphatase,h001,,,
8,4012,Adenomatous polyposis coli protein,h001,,,APC
8,4573,Transient receptor potential cation channel subfamily M member 2,h001,,,TRPM2
8,222,Aldo-keto reductase family 1 member C3,650,,,AKR1C3
8,4527,Sodium/iodide cotransporter,h001,,,
8,4530,Sodium/potassium-transporting ATPase subunit gamma,h001,,,
8,4173,Dolichyl-phosphate beta-glucosyltransferase,h001,,,ALG5
30,16,Muscarinic acetylcholine receptor M3,51,0.85801,0.722,CHRM3
30,17,Thrombin,54,0.82631,0.778,
30,38,Muscarinic acetylcholine receptor M1,103,0.89837,0.738,CHRM1
30,63,Beta-1 adrenergic receptor,193,0.88016,0.706,ADRB1
30,126,Alpha-2C adrenergic receptor,378,0.88754,0.71,ADRA2C
30,186,Sodium-dependent noradrenaline transporter,540,0.91665,0.736,SLC6A2
30,191,Alpha-1A adrenergic receptor,556,0.89304,0.732,ADRA1A
30,210,Muscarinic acetylcholine receptor M2,617,0.89128,0.7,CHRM2
30,216,Alpha-1B adrenergic receptor,632,0.91287,0.708,ADRA1B
30,239,Sodium-dependent dopamine transporter,713,0.91191,0.744,SLC6A3
30,261,Beta-2 adrenergic receptor,766,0.87029,0.74,ADRB2
30,332,Dipeptidyl peptidase IV,952,0.8077,0.71,
30,499,Beta-lactamase,2478,0.80095,0.736,
30,1696,Chymotrypsinogen B,6011,0.83694,0.704,
54,28,"Nitric-oxide synthase, brain",76,0.94847,0.724,
54,94,Prostaglandin G/H synthase 2,290,0.8733,0.72,PTGS2
32,309,Gamma-aminobutyric acid receptor subunit alpha-1,872,0.83109,0.746,
32,581,"Neuronal acetylcholine receptor protein, alpha-7 chain",4095,0.80216,0.71,
46,7,Dopamine D1 receptor,23,0.84702,0.7,
46,16,Muscarinic acetylcholine receptor M3,51,0.90611,0.75,CHRM3
46,17,Thrombin,54,0.80871,0.758,
46,38,Muscarinic acetylcholine receptor M1,103,0.92845,0.74,CHRM1
46,63,Beta-1 adrenergic receptor,193,0.87101,0.708,ADRB1
46,70,Sodium channel protein type 5 subunit alpha,220,0.81966,0.718,SCN5A
46,95,"Nitric-oxide synthase, endothelial",291,0.81863,0.708,
46,154,Muscarinic acetylcholine receptor M4,450,0.88384,0.706,CHRM4
46,172,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",485,0.87386,0.702,
46,175,5-hydroxytryptamine 2A receptor,502,0.8707,0.708,
46,186,Sodium-dependent noradrenaline transporter,540,0.85772,0.71,SLC6A2
46,191,Alpha-1A adrenergic receptor,556,0.88109,0.726,ADRA1A
46,210,Muscarinic acetylcholine receptor M2,617,0.92113,0.708,CHRM2
